Cod;Produto;Grupo
C0012A;Arroz, creme, cozido, Orysa sativa L. <<Rice, cream, cooked, without spice>>;Cereais
C0013A;Arroz, farelo, Orysa sativa L. <<Rice, bran>>;Cereais
C0014A;Arroz, farinha, crua, (média diferentes marcas) <<Rice, flour, raw (mean of different branded>>;Cereais
C0015A;"Arroz, farinha, ""Colombo"" <<Rice, flour, raw>>";Cereais
C0016A;Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L. <<Rice, brown, cooked, without salt and spice>>;Cereais
C0017A;Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares) <<Rice, brown, raw (mean of different cultivars)>>;Cereais
C0018A;Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras) <<Rice, white, cooked, wihtout salt and spice>>;Cereais
C0001A;Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras) <<Rice, white, raw (mean of different samples)>>;Cereais
C0019A;Aveia, farelo, cozida, Avena sativa <<Oat, bran, cooked>>;Cereais
C0020A;Aveia, farinha, cozida, Avena sativa <<Oat, flour, cooked>>;Cereais
C0021A;Aveia, crua, Avena sativa, (média diferentes tipos) <<Oat, raw>>;Cereais
C0022A;"Aveia, farinha, crua, ""Mac Bits"", Avena sativa <<Oat, flour, raw>>";Cereais
C0023A;Aveia, fibras, Avena sativa <<Oat, fiber>>;Cereais
C0024A;"Aveia, flocos, finos, ""Float"", Avena sativa <<Oat, flakes>>";Cereais
C0025A;"Aveia, flocos, finos, instantânea, ""Float"", Avena sativa <<Oat, flakes>>";Cereais
C0026A;"Aveia, flocos, finos, ""Neston"", Avena sativa <<Oat, flakes>>";Cereais
C0027A;Biscoito, doce, simples, (média diferentes tipos) <<Cookies (mean of different types)>>;Cereais
C0028A;"Biscoito, doce, Maria, ""Marilan"" <<Cookies>>";Cereais
C0029A;Biscoito, doce, amanteigado, (média diferentes sabores) <<Cookies, butter>>;Cereais
C0030A;"Biscoito, doce, amanteigado, banana c/ canela, ""Bauducco"" <<Cookies, butter, banana with cinnamon>>";Cereais
C0031A;"Biscoito, doce, amanteigado, chocolate, ""Bauducco"" <<Cookies, butter, chocolate>>";Cereais
C0032A;"Biscoito, doce, amanteigado, recheio sabor chocolate, ""Marilan"" <<Cookies, butter, chocolate>>";Cereais
C0033A;"Biscoito, doce, amanteigado, coco, ""Bauducco"" <<Cookies, butter, coconut>>";Cereais
C0034A;"Biscoito, doce, amanteigado, recheio sabor coco, ""Marilan"" <<Cookies, butter, coconut>>";Cereais
C0035A;"Biscoito, doce, amanteigado, recheio sabor coco, ""Marilan"" <<Cookies, butter, coconut>>";Cereais
C0036A;"Biscoito, doce, amanteigado, leite, ""Bauducco"" <<Cookies, butter, milk>>";Cereais
C0037A;"Biscoito, doce, amanteigado, leite, ""Marilan"" <<Cookies, butter, milk>>";Cereais
C0038A;"Biscoito, doce, amanteigado, manteiga, ""Bauducco"" <<Cookies, butter>>";Cereais
C0039A;"Biscoito, doce, amanteigado, ""Marilan"" <<Cookies, butter>>";Cereais
C0040A;Biscoito, doce, c/ cereais e/ou mel <<Cookies, with cereals and/or honey>>;Cereais
C0041A;"Biscoito, doce, banana/aveia/mel, ""Gran'dia"" <<Cookies, banana/oat/honey>>";Cereais
C0042A;"Biscoito, doce, chocolate, c/ 5 cereais, ""Gran'dia"" <<Cookies, chocolate>>";Cereais
C0043A;Biscoito, doce, recheado, sabores diversos, (média diferentes sabores) <<Cookies, sandwich (mean of different flavours)>>;Cereais
C0044A;"Biscoito, doce, recheado, recheio sabor brigadeiro, ""Bauducco"" <<Cookies, sandwich, chocolate>>";Cereais
C0045A;"Biscoito, doce, recheado, chocolate, recheio sabor chocolate, ""Danone"" <<Cookies, sandwich, chocolate>>";Cereais
C0046A;"Biscoito, doce, recheado, recheio sabor chocolate, ""Marilan"" <<Cookies, sandwich, chocolate>>";Cereais
C0047A;"Biscoito, doce, recheado, recheio sabor morango, ""Break-up"" <<Cookies, sandwich, strawberry>>";Cereais
C0048A;"Biscoito, doce, recheado, recheio sabor morango, ""Marilan"" <<Cookies, sandwich, strawberry>>";Cereais
C0049A;Biscoito, doce, wafer, (média diferentes sabores) <<Cookies, wafers (mean of different flavours)>>;Cereais
C0050A;"Biscoito, doce, wafer, chocolate, recheio sabor chocolate e avelã, ""Bauducco"" <<Cookies, wafers, chocolate>>";Cereais
C0051A;"Biscoito, doce, wafer, recheio sabor chocolate, ""Bauducco"" <<Cookies, wafers, chocolate>>";Cereais
C0052A;"Biscoito, doce, wafer, recheio sabor chocolate, ""Marilan"" <<Cookies, wafers, chocolate>>";Cereais
C0053A;"Biscoito, doce, wafer, recheio sabor morango, ""Marilan"" <<Cookies, wafers, strawberry>>";Cereais
C0054A;"Biscoito, doce, wafer, recheio sabor nozes, ""Bauducco"" <<Cookies, wafers, nuts>>";Cereais
C0055A;Biscoito, salgado, (média diferentes marcas e tipos) <<Crackers, wheat, regular (mean of different branded and types)>>;Cereais
C0056A;"Biscoito, salgado, água , ""Tostines"" <<Crackers, wheat, water, regular>>";Cereais
C0057A;"Biscoito, salgado, água e sal, ""Marilan"" <<Crackers, wheat, regular>>";Cereais
C0058A;"Biscoito, salgado, água e sal, ""Tostines"" <<Crackers, wheat, regular>>";Cereais
C0059A;"Biscoito, salgado, cream cracker , integral, ""Marilan"" <<Crackers, wheat, cream cracker, integral, regular>>";Cereais
C0060A;"Biscoito, salgado, cream cracker, ""Marilan"" <<Crackers, wheat, cream cracker, regular>>";Cereais
C0061A;"Biscoito, salgado, cream cracker, ""Tostines"" <<Crackers, wheat, cream cracker, regular>>";Cereais
