,Componente,Unidades,Valor por 100 g,Cod,Produto
0,Energia,kJ,412,C0012A,"Arroz, creme, cozido, Orysa sativa L. <<Rice, cream, cooked, without spice>>"
1,Energia,kcal,97,C0012A,
2,Umidade,g,758,C0012A,
3,Carboidrato total,g,219,C0012A,
4,Carboidrato disponível,g,219,C0012A,
5,Proteína,g,201,C0012A,
6,Lipídios,g,14,C0012A,
7,Fibra alimentar,g,0,C0012A,
8,Cinzas,g,18,C0012A,
9,Colesterol,mg,0,C0012A,
10,Ácidos graxos saturados,g,5,C0012A,
11,Ácidos graxos monoinsaturados,g,4,C0012A,
12,Ácidos graxos poliinsaturados,g,5,C0012A,
13,Cálcio,mg,186,C0012A,
14,Ferro,mg,17,C0012A,
15,Sódio,mg,27,C0012A,
16,Magnésio,mg,132,C0012A,
17,Fósforo,mg,40,C0012A,
18,Potássio,mg,30,C0012A,
19,Manganês,mcg,33,C0012A,
20,Zinco,mg,49,C0012A,
21,Cobre,mg,1,C0012A,
22,Vitamina A (RAE),mcg,0,C0012A,
23,Vitamina D,mcg,0,C0012A,
24,Alfa-tocoferol (Vitamina E),mcg,3,C0012A,
25,Tiamina,mg,6,C0012A,
26,Vitamina B6,mg,2,C0012A,
27,Vitamina B12,mg,0,C0012A,
28,Equivalente de folato,mcg,582,C0012A,
0,Energia,kJ,1341,C0013A,
1,Energia,kcal,324,C0013A,"Arroz, farelo, Orysa sativa L. <<Rice, bran>>"
2,Umidade,g,498,C0013A,
3,Carboidrato total,g,356,C0013A,
4,Carboidrato disponível,g,112,C0013A,
5,Proteína,g,142,C0013A,
6,Lipídios,g,193,C0013A,
7,Fibra alimentar,g,244,C0013A,
8,Cinzas,g,26,C0013A,
9,Colesterol,mg,0,C0013A,
10,Ácidos graxos saturados,g,387,C0013A,
11,Ácidos graxos monoinsaturados,g,699,C0013A,
12,Ácidos graxos poliinsaturados,g,691,C0013A,
13,Cálcio,mg,577,C0013A,
14,Ferro,mg,188,C0013A,
15,Sódio,mg,507,C0013A,
16,Magnésio,mg,791,C0013A,
17,Fósforo,mg,1698,C0013A,
18,Potássio,mg,1504,C0013A,
19,Zinco,mg,612,C0013A,
20,Vitamina A (RAE),mcg,0,C0013A,
21,Vitamina D,mcg,0,C0013A,
22,Alfa-tocoferol (Vitamina E),mcg,456,C0013A,
23,Tiamina,mg,279,C0013A,
24,Riboflavina,mg,29,C0013A,
25,Niacina,mg,345,C0013A,
26,Vitamina B6,mg,412,C0013A,
27,Vitamina B12,mg,0,C0013A,
28,Vitamina C,mg,0,C0013A,
29,Equivalente de folato,mcg,638,C0013A,
0,Energia,kJ,1531,C0014A,
1,Energia,kcal,361,C0014A,
